ID	T1	T2	T3	T4
1299	525ab75c928c6fac98a0f62e4da5316b7247ccd704c967ef9142925c	b23c8d629d037531707dbb83e27932d879cb9f2a57c960be95d2d8e1	68c03829c28a08159e587ba32f165c445276f7ca9724816f07cf8c0a	1dc161f26f37ac639bf14c645a4b9c24f0da5f96a836437e2a79cdbd
4621	271f93f45e9b4067327ed5c8cd30a034730aaace4382803c3e1d6c2f	a4b709af5eb19e6494158f9e3a67696411d8a7cd7e0b5d7fa7d60a93	c0ce54b6e4c805bfb735491cfcffe9d846683fe764e9743cb2505283	1af3d6dcce2a230337ff5bbf4e1065307ccbe923a41ba08abcec2ea0
4775	271f93f45e9b4067327ed5c8cd30a034730aaace4382803c3e1d6c2f	a4b709af5eb19e6494158f9e3a67696411d8a7cd7e0b5d7fa7d60a93	d0b8d1d417a45c7c58202f55cbb617865f1ef72c606f9bce54322802	891199ade0cf46baaaeae0397521944517df106bf10410b4bf91d0ec
5860	525ab75c928c6fac98a0f62e4da5316b7247ccd704c967ef9142925c	a4b709af5eb19e6494158f9e3a67696411d8a7cd7e0b5d7fa7d60a93	d0b8d1d417a45c7c58202f55cbb617865f1ef72c606f9bce54322802	7cf41b2f4c3426118b7e9a6117ebd7effced7f75d3dc9baf25a5b649
8500	1c18a39e0bd33685c5684a50010cf67a80f2524417f0a2cfde03810d	6834100708ea13d5f4d662c26e1e3a2786201f9f9da7bee705644358	6722cc364817dd7f866a20b09f5040464cb847e1ee5b3429d3173f29	5283565b4d1a49f1e59392f95b44256172e0e44fea2f4c0b89f970a3
4283	271f93f45e9b4067327ed5c8cd30a034730aaace4382803c3e1d6c2f	b23c8d629d037531707dbb83e27932d879cb9f2a57c960be95d2d8e1	c0ce54b6e4c805bfb735491cfcffe9d846683fe764e9743cb2505283	79fac7ea87363c38ed4d4b459ec4083b270b271e2ae31fa0f3fb4c7a
3649	3aac67cd73162d439f9947d61357a1b62432f0ca84b7f435f4177a8c	a4b709af5eb19e6494158f9e3a67696411d8a7cd7e0b5d7fa7d60a93	e1333460fe1f9abad23a8e8c44ec5793299c77da8328d3a52c4fa2f8	fc05f33633529195d50fd560dfc2966af79995d048debb7b34035e65
8858	58b2aaa0bfae7acc021b3260e941117b529b2e69de878fd7d45c61a9	b23c8d629d037531707dbb83e27932d879cb9f2a57c960be95d2d8e1	c0ce54b6e4c805bfb735491cfcffe9d846683fe764e9743cb2505283	e0aca0848f1c35ead25c9982cd43fbc0cd550ad8e912738de4d80783
6493	58b2aaa0bfae7acc021b3260e941117b529b2e69de878fd7d45c61a9	b23c8d629d037531707dbb83e27932d879cb9f2a57c960be95d2d8e1	c0ce54b6e4c805bfb735491cfcffe9d846683fe764e9743cb2505283	9f0f3455d8f5d1bc1c561e07740211bd278b9a717f370570b026a180
6975	86730f0dd6381286d3b5f0dfb897ce4895480ce97564c6be4f1543b8	a4b709af5eb19e6494158f9e3a67696411d8a7cd7e0b5d7fa7d60a93	e9907a8d067fdccd28716a5e30701f8eefeeb46cded8340d93759a93	bcb0cfb438f0ed7ff8d17d2f8e470479406fd6231fa0e11366adc055
7834	bd1a1bdf6eae5ee14c3fee371cca975a5e052009bc67ce8f11cb7271	a4b709af5eb19e6494158f9e3a67696411d8a7cd7e0b5d7fa7d60a93	6e664d43f7edc73d5a792c57111ce51fad5e79862f862029f559a697	07cb55d9798bc4525603752015bd6035fbb5e8e5ba9f210165c749c3
1853	1c18a39e0bd33685c5684a50010cf67a80f2524417f0a2cfde03810d	a4b709af5eb19e6494158f9e3a67696411d8a7cd7e0b5d7fa7d60a93	6722cc364817dd7f866a20b09f5040464cb847e1ee5b3429d3173f29	7efbf6582a740375fb604cdb60dfce61ce9d191ce273fe4ce53d9ee4
